environment | time (second),combined_concs | totEGFRphos (nanomolar),combined_concs | totGrb_EGFR (nanomolar),combined_concs | totGrb_Shc (nanomolar),combined_concs | totPLCgammaphos (nanomolar),combined_concs | totShc_EGFR (nanomolar),combined_concs | totShcphos (nanomolar),combined_concs | totSOS_EGFR (nanomolar),EGF | EGF (nanomolar),EGF | EGF' (nanomolar/second),G_S | G_S (nanomolar),G_S | G_S' (nanomolar/second),Grb | Grb (nanomolar),Grb | Grb' (nanomolar/second),PLC_gamma | PLC_gamma (nanomolar),PLC_gamma | PLC_gamma' (nanomolar/second),PLC_gamma_P | PLC_gamma_P (nanomolar),PLC_gamma_P | PLC_gamma_P' (nanomolar/second),PLC_gamma_P_I | PLC_gamma_P_I (nanomolar),PLC_gamma_P_I | PLC_gamma_P_I' (nanomolar/second),R | R (nanomolar),R | R' (nanomolar/second),R2 | R2 (nanomolar),R2 | R2' (nanomolar/second),R_G | R_G (nanomolar),R_G | R_G' (nanomolar/second),R_G_S | R_G_S (nanomolar),R_G_S | R_G_S' (nanomolar/second),R_PL | R_PL (nanomolar),R_PL | R_PL' (nanomolar/second),R_PLP | R_PLP (nanomolar),R_PLP | R_PLP' (nanomolar/second),R_Sh | R_Sh (nanomolar),R_Sh | R_Sh' (nanomolar/second),R_Sh_G | R_Sh_G (nanomolar),R_Sh_G | R_Sh_G' (nanomolar/second),R_Sh_G_S | R_Sh_G_S (nanomolar),R_Sh_G_S | R_Sh_G_S' (nanomolar/second),R_ShP | R_ShP (nanomolar),R_ShP | R_ShP' (nanomolar/second),Ra | Ra (nanomolar),Ra | Ra' (nanomolar/second),RP | RP (nanomolar),RP | RP' (nanomolar/second),Sh_G | Sh_G (nanomolar),Sh_G | Sh_G' (nanomolar/second),Sh_G_S | Sh_G_S (nanomolar),Sh_G_S | Sh_G_S' (nanomolar/second),Shc | Shc (nanomolar),Shc | Shc' (nanomolar/second),ShP | ShP (nanomolar),ShP | ShP' (nanomolar/second),SOS | SOS (nanomolar),SOS | SOS' (nanomolar/second),v1 | k1 (second_order_rate_constant),v1 | k1_ (first_order_rate_constant),v1 | v1 (flux),v10 | k10 (second_order_rate_constant),v10 | k10_ (first_order_rate_constant),v10 | v10 (flux),v11 | k11 (first_order_rate_constant),v11 | k11_ (second_order_rate_constant),v11 | v11 (flux),v12 | k12 (first_order_rate_constant),v12 | k12_ (second_order_rate_constant),v12 | v12 (flux),v13 | k13 (second_order_rate_constant),v13 | k13_ (first_order_rate_constant),v13 | v13 (flux),v14 | k14 (first_order_rate_constant),v14 | k14_ (first_order_rate_constant),v14 | v14 (flux),v15 | k15 (first_order_rate_constant),v15 | k15_ (second_order_rate_constant),v15 | v15 (flux),v16 | K16 (nanomolar),v16 | V16 (flux),v16 | v16 (flux),v17 | k17 (second_order_rate_constant),v17 | k17_ (first_order_rate_constant),v17 | v17 (flux),v18 | k18 (first_order_rate_constant),v18 | k18_ (second_order_rate_constant),v18 | v18 (flux),v19 | k19 (second_order_rate_constant),v19 | k19_ (first_order_rate_constant),v19 | v19 (flux),v2 | k2 (second_order_rate_constant),v2 | k2_ (first_order_rate_constant),v2 | v2 (flux),v20 | k20 (first_order_rate_constant),v20 | k20_ (second_order_rate_constant),v20 | v20 (flux),v21 | k21 (second_order_rate_constant),v21 | k21_ (first_order_rate_constant),v21 | v21 (flux),v22 | k22 (second_order_rate_constant),v22 | k22_ (first_order_rate_constant),v22 | v22 (flux),v23 | k23 (first_order_rate_constant),v23 | k23_ (second_order_rate_constant),v23 | v23 (flux),v24 | k24 (second_order_rate_constant),v24 | k24_ (first_order_rate_constant),v24 | v24 (flux),v25 | k25 (first_order_rate_constant),v25 | k25_ (first_order_rate_constant),v25 | v25 (flux),v3 | k3 (first_order_rate_constant),v3 | k3_ (first_order_rate_constant),v3 | v3 (flux),v4 | K4 (nanomolar),v4 | v4 (flux),v4 | V4 (flux),v5 | k5 (second_order_rate_constant),v5 | k5_ (first_order_rate_constant),v5 | v5 (flux),v6 | k6 (first_order_rate_constant),v6 | k6_ (first_order_rate_constant),v6 | v6 (flux),v7 | k7 (first_order_rate_constant),v7 | k7_ (second_order_rate_constant),v7 | v7 (flux),v8 | K8 (nanomolar),v8 | V8 (flux),v8 | v8 (flux),v9 | k9 (second_order_rate_constant),v9 | k9_ (first_order_rate_constant),v9 | v9 (flux)
0,0,0,0,0,0,0,0,680,-204,0,0.289,85,-0.289,105,0,0,0,0,0,100,-204,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,204,0,0,0,0,0,0,150,0,0,0,34,-0.289,0.003,0.06,204,0.01,0.06,0,0.03,0.0045,0,0.0015,0.0001,-0.289,0.09,0.6,0,6,0.06,0,0.3,0.0009,0,340,1.7,0,0.003,0.1,0,0.3,0.0009,0,0.01,0.0214,0,0.01,0.1,0,0.12,0.00024,0,0.003,0.1,0,0.03,0.064,0,0.1,0.021,0,0.009,0.0429,0,1,0.03,0,1,0.01,0,50,0,450,0.06,0.2,0,1,0.05,0,0.3,0.006,0,100,1,0,0.003,0.05,0
1,8.22323,0.131871,0.0907898,0.255001,1.53766,1.64466,0.00958465,596.597,-26.8568,0.286036,0.280109,84.5732,-0.796752,103.81,-2.97018,0.0129447,0.0595695,0.002207,0.0128785,16.5969,-26.8568,13.8553,11.8131,0.045722,0.111149,0.00422251,0.015682,0.93258,2.04983,0.242056,0.847899,0.842549,1.25523,0.0765646,0.313036,0.00536214,0.028564,1.45573,4.16606,47.4692,-15.4387,0.506827,0.547137,0.00753072,0.0395831,0.00133239,0.00862851,147.513,-6.22269,0.0981367,0.411583,33.703,-0.332984,0.003,0.06,26.8568,0.01,0.06,0.0151564,0.03,0.0045,-0.000525692,0.0015,0.0001,-0.284609,0.09,0.6,6.22318,6,0.06,4.96795,0.3,0.0009,0.436676,340,1.7,0.000490542,0.003,0.1,0.361692,0.3,0.0009,0.0229659,0.01,0.0214,0.0256899,0.01,0.1,21.1477,0.12,0.00024,0.000643295,0.003,0.1,0.0241461,0.03,0.064,0.00752898,0.1,0.021,-0.000456243,0.009,0.0429,0.00351749,1,0.03,0.0128785,1,0.01,13.8503,50,4.51567,450,0.06,0.2,2.97031,1,0.05,0.920477,0.3,0.006,0.0725774,100,1,0.00012943,0.003,0.05,0.126306
2,29.5,1.15838,1.19617,2.06073,7.58416,9.00334,0.17809,583.891,-4.89101,0.548995,0.241387,83.0384,-2.30589,100.038,-4.09083,0.207652,0.347841,0.0869429,0.205043,3.89093,-4.89101,17.2661,-1.82148,0.175958,0.128445,0.0405042,0.0566836,2.81383,1.37173,1.85308,2.16622,1.50683,0.191009,0.804333,1.069,0.137586,0.27449,6.64224,5.0494,32.0769,-12.2343,0.775647,0.0771634,0.178278,0.340862,0.0759683,0.195016,139.49,-8.82763,1.16493,1.70785,33.1969,-0.767577,0.003,0.06,4.89101,0.01,0.06,0.0559825,0.03,0.0045,-0.00070109,0.0015,0.0001,-0.274839,0.09,0.6,8.83344,6,0.06,8.64243,0.3,0.0009,1.99186,340,1.7,0.00580474,0.003,0.1,1.57425,0.3,0.0009,0.241176,0.01,0.0214,0.26407,0.01,0.1,8.56266,0.12,0.00024,0.0164962,0.003,0.1,0.272373,0.03,0.064,0.172686,0.1,0.021,-0.00583347,0.009,0.0429,0.0269166,1,0.03,0.205043,1,0.01,17.2583,50,6.87418,450,0.06,0.2,4.0929,1,0.05,2.72118,0.3,0.006,0.554956,100,1,0.00207221,0.003,0.05,0.184427
3,47.2133,2.94389,3.74911,4.7971,13.1563,17.6603,0.692096,581.411,-1.08305,0.769567,0.204675,80.0831,-3.50583,96.0638,-3.79866,0.679044,0.561563,0.504639,0.663905,1.41063,-1.08305,14.2096,-3.38517,0.285601,0.089906,0.11257,0.0840758,3.63441,0.376893,4.11806,2.1963,1.51337,-0.093019,1.9662,1.14579,0.579526,0.596593,10.6106,2.86152,22.9568,-6.61532,0.786332,-0.0237116,0.697182,0.67505,0.506211,0.709737,130.826,-8.3342,3.30062,2.43852,32.0321,-1.59508,0.003,0.06,1.08305,0.01,0.06,0.0847298,0.03,0.0045,0.000653998,0.0015,0.0001,-0.255369,0.09,0.6,8.35055,6,0.06,8.44356,0.3,0.0009,3.18084,340,1.7,0.0163444,0.003,0.1,2.35257,0.3,0.0009,0.589365,0.01,0.0214,0.617412,0.01,0.1,3.84919,0.12,0.00024,0.0694475,0.003,0.1,0.723255,0.03,0.064,0.63757,0.1,0.021,-0.00271999,0.009,0.0429,0.0486284,1,0.03,0.663905,1,0.01,14.2018,50,6.96742,450,0.06,0.2,3.8054,1,0.05,3.42851,0.3,0.006,1.23221,100,1,0.00674465,0.003,0.05,0.174636
4,58.7983,4.80547,7.25237,7.32602,16.8363,25.692,1.47938,580.801,-0.321885,0.972543,0.208746,76.2135,-4.15501,92.4514,-3.44426,1.26361,0.580278,1.44669,1.22021,0.800984,-0.321885,11.2524,-2.43597,0.359196,0.0599872,0.202378,0.0929119,3.77586,-0.0160023,6.06241,1.65978,1.40372,-0.110067,2.9669,0.830269,1.277,0.765582,12.5924,1.25518,17.8959,-3.83287,0.759302,-0.0242906,1.47268,0.851053,1.53579,1.34646,122.904,-7.52796,5.84725,2.58948,30.0123,-2.4137,0.003,0.06,0.321885,0.01,0.06,0.0956602,0.03,0.0045,0.00274829,0.0015,0.0001,-0.227275,0.09,0.6,7.5567,6,0.06,7.66677,0.3,0.0009,3.77372,340,1.7,0.0287419,0.003,0.1,2.58244,0.3,0.0009,0.889063,0.01,0.0214,0.863106,0.01,0.1,2.07738,0.12,0.00024,0.15296,0.003,0.1,1.18965,0.03,0.064,1.22766,0.1,0.021,0.0341586,0.009,0.0429,0.0554362,1,0.03,1.22021,1,0.01,11.2448,50,6.73149,450,0.06,0.2,3.45674,1,0.05,3.47274,0.3,0.006,1.81297,100,1,0.0124784,0.003,0.05,0.155647
5,65.9075,6.37851,11.2005,9.24038,19.0609,32.9891,2.34461,580.59,-0.137317,1.19882,0.24742,71.8956,-4.43463,89.1333,-3.21151,1.8034,0.489653,2.92355,1.71569,0.59034,-0.137317,9.32675,-1.46425,0.410683,0.0451337,0.294363,0.0896087,3.7028,-0.101727,7.43698,1.10789,1.30574,-0.0847825,3.62322,0.494694,2.05024,0.75611,13.3874,0.43892,14.8487,-2.407,0.742294,-0.00943598,2.36567,0.926022,3.16137,1.87564,115.705,-6.90541,8.40115,2.49881,27.2952,-2.96878,0.003,0.06,0.137317,0.01,0.06,0.0944351,0.03,0.0045,0.00482645,0.0015,0.0001,-0.194442,0.09,0.6,6.94641,6,0.06,7.03119,0.3,0.0009,4.01061,340,1.7,0.0409929,0.003,0.1,2.52517,0.3,0.0009,1.08539,0.01,0.0214,0.94509,0.01,0.1,1.27216,0.12,0.00024,0.245466,0.003,0.1,1.57545,0.03,0.064,1.73481,0.1,0.021,0.104637,0.009,0.0429,0.0564861,1,0.03,1.71569,1,0.01,9.31933,50,6.58291,450,0.06,0.2,3.22922,1,0.05,3.33095,0.3,0.006,2.22306,100,1,0.0177145,0.003,0.05,0.139569
6,70.2015,7.57528,15.2838,10.563,20.3652,39.7351,3.13279,580.488,-0.076805,1.46968,0.293216,67.4142,-4.50201,85.9966,-3.07427,2.23574,0.375773,4.83719,2.09062,0.487886,-0.076805,8.21506,-0.809716,0.452781,0.0402775,0.379586,0.0801898,3.60319,-0.0906885,8.32729,0.698563,1.23302,-0.0619012,3.98971,0.255722,2.7532,0.638213,13.6222,0.0832509,12.8805,-1.59834,0.739714,0.00366188,3.31843,0.980486,5.22242,2.21391,109.032,-6.46644,10.829,2.35676,24.1751,-3.22552,0.003,0.06,0.076805,0.01,0.06,0.0866852,0.03,0.0045,0.00649542,0.0015,0.0001,-0.16077,0.09,0.6,6.51891,6,0.06,6.58081,0.3,0.0009,4.07946,340,1.7,0.0524739,0.003,0.1,2.35603,0.3,0.0009,1.1947,0.01,0.0214,0.905599,0.01,0.1,0.837573,0.12,0.00024,0.329457,0.003,0.1,1.85825,0.03,0.064,2.07247,0.1,0.021,0.188022,0.009,0.0429,0.0620708,1,0.03,2.09062,1,0.01,8.20766,50,6.56037,450,0.06,0.2,3.09614,1,0.05,3.18683,0.3,0.006,2.48826,100,1,0.0218684,0.003,0.05,0.126963
7,72.7753,8.42614,19.3409,11.4422,21.1052,46.0886,3.76766,580.426,-0.0492346,1.77976,0.322993,62.9324,-4.44569,82.9655,-2.99518,2.56096,0.278911,7.06572,2.34898,0.426325,-0.0492346,7.62322,-0.407339,0.492986,0.0407309,0.453935,0.0682909,3.5266,-0.0623833,8.88122,0.42967,1.17936,-0.0466023,4.16549,0.108597,3.31372,0.480468,13.6259,-0.0524433,11.5519,-1.09507,0.748398,0.0131636,4.3329,1.0528,7.52882,2.37181,102.732,-6.14881,13.1217,2.23418,20.9238,-3.24356,0.003,0.06,0.0492346,0.01,0.06,0.0759151,0.03,0.0045,0.00762421,0.0015,0.0001,-0.129009,0.09,0.6,6.21199,6,0.06,6.25859,0.3,0.0009,4.07894,340,1.7,0.0631705,0.003,0.1,2.15599,0.3,0.0009,1.24673,0.01,0.0214,0.800663,0.01,0.1,0.572152,0.12,0.00024,0.396295,0.003,0.1,2.04405,0.03,0.064,2.23797,0.1,0.021,0.26246,0.009,0.0429,0.0760992,1,0.03,2.34898,1,0.01,7.61574,50,6.63625,450,0.06,0.2,3.02015,1,0.05,3.08254,0.3,0.006,2.65287,100,1,0.0249701,0.003,0.05,0.116646
8,74.2822,8.99288,23.2937,12.023,21.4899,52.1519,4.23081,580.386,-0.0333569,2.10663,0.325997,58.5487,-4.31115,79.9951,-2.94989,2.80254,0.208618,9.50518,2.51739,0.385649,-0.0333569,7.34843,-0.161956,0.535054,0.0436605,0.515966,0.055757,3.47675,-0.0385742,9.22045,0.262456,1.13786,-0.0371832,4.22701,0.0220419,3.71484,0.324085,13.548,-0.0940222,10.6353,-0.759156,0.765151,0.0199908,5.43336,1.15268,9.91849,2.38693,96.7103,-5.90385,15.3102,2.14931,17.7441,-3.09277,0.003,0.06,0.0333569,0.01,0.06,0.0639825,0.03,0.0045,0.00822548,0.0015,0.0001,-0.100729,0.09,0.6,5.9771,6,0.06,6.01429,0.3,0.0009,4.05386,340,1.7,0.0732522,0.003,0.1,1.95695,0.3,0.0009,1.26436,0.01,0.0214,0.670547,0.01,0.1,0.396256,0.12,0.00024,0.44396,0.003,0.1,2.14583,0.03,0.064,2.25751,0.1,0.021,0.314541,0.009,0.0429,0.0974984,1,0.03,2.51739,1,0.01,7.34078,50,6.78257,450,0.06,0.2,2.97715,1,0.05,3.01572,0.3,0.006,2.75327,100,1,0.0272614,0.003,0.05,0.107643
9,75.1031,9.33573,27.1033,12.414,21.639,57.9858,4.53427,580.358,-0.0229584,2.42263,0.301833,54.328,-4.12263,77.0593,-2.9242,2.986,0.161681,12.0798,2.62361,0.357821,-0.0229584,7.26924,-0.00769411,0.580608,0.0475153,0.56554,0.0434805,3.4469,-0.0223015,9.428,0.161212,1.10372,-0.0316025,4.22085,-0.0303323,3.96873,0.187798,13.4494,-0.100045,10.0006,-0.523419,0.78783,0.0251572,6.64649,1.27707,12.2672,2.29527,90.9105,-5.70083,17.4331,2.10268,14.7759,-2.82838,0.003,0.06,0.0229584,0.01,0.06,0.0518579,0.03,0.0045,0.00837739,0.0015,0.0001,-0.0766406,0.09,0.6,5.78375,6,0.06,5.81535,0.3,0.0009,4.02246,340,1.7,0.0829142,0.003,0.1,1.76995,0.3,0.0009,1.26154,0.01,0.0214,0.538739,0.01,0.1,0.273189,0.12,0.00024,0.473928,0.003,0.1,2.17667,0.03,0.064,2.16114,0.1,0.021,0.339803,0.009,0.0429,0.122988,1,0.03,2.62361,1,0.01,7.26136,50,6.98048,450,0.06,0.2,2.95319,1,0.05,2.9755,0.3,0.006,2.81428,100,1,0.0289943,0.003,0.05,0.0993731
