environment | time (second),combined_concs | totEGFRphos (nanomolar),combined_concs | totGrb_EGFR (nanomolar),combined_concs | totGrb_Shc (nanomolar),combined_concs | totPLCgammaphos (nanomolar),combined_concs | totShc_EGFR (nanomolar),combined_concs | totShcphos (nanomolar),combined_concs | totSOS_EGFR (nanomolar),EGF | EGF (nanomolar),EGF | EGF' (nanomolar/second),G_S | G_S (nanomolar),G_S | G_S' (nanomolar/second),Grb | Grb (nanomolar),Grb | Grb' (nanomolar/second),PLC_gamma | PLC_gamma (nanomolar),PLC_gamma | PLC_gamma' (nanomolar/second),PLC_gamma_P | PLC_gamma_P (nanomolar),PLC_gamma_P | PLC_gamma_P' (nanomolar/second),PLC_gamma_P_I | PLC_gamma_P_I (nanomolar),PLC_gamma_P_I | PLC_gamma_P_I' (nanomolar/second),R | R (nanomolar),R | R' (nanomolar/second),R2 | R2 (nanomolar),R2 | R2' (nanomolar/second),R_G | R_G (nanomolar),R_G | R_G' (nanomolar/second),R_G_S | R_G_S (nanomolar),R_G_S | R_G_S' (nanomolar/second),R_PL | R_PL (nanomolar),R_PL | R_PL' (nanomolar/second),R_PLP | R_PLP (nanomolar),R_PLP | R_PLP' (nanomolar/second),R_Sh | R_Sh (nanomolar),R_Sh | R_Sh' (nanomolar/second),R_Sh_G | R_Sh_G (nanomolar),R_Sh_G | R_Sh_G' (nanomolar/second),R_Sh_G_S | R_Sh_G_S (nanomolar),R_Sh_G_S | R_Sh_G_S' (nanomolar/second),R_ShP | R_ShP (nanomolar),R_ShP | R_ShP' (nanomolar/second),Ra | Ra (nanomolar),Ra | Ra' (nanomolar/second),RP | RP (nanomolar),RP | RP' (nanomolar/second),Sh_G | Sh_G (nanomolar),Sh_G | Sh_G' (nanomolar/second),Sh_G_S | Sh_G_S (nanomolar),Sh_G_S | Sh_G_S' (nanomolar/second),Shc | Shc (nanomolar),Shc | Shc' (nanomolar/second),ShP | ShP (nanomolar),ShP | ShP' (nanomolar/second),SOS | SOS (nanomolar),SOS | SOS' (nanomolar/second),v1 | k1 (second_order_rate_constant),v1 | k1_ (first_order_rate_constant),v1 | v1 (flux),v10 | k10 (second_order_rate_constant),v10 | k10_ (first_order_rate_constant),v10 | v10 (flux),v11 | k11 (first_order_rate_constant),v11 | k11_ (second_order_rate_constant),v11 | v11 (flux),v12 | k12 (first_order_rate_constant),v12 | k12_ (second_order_rate_constant),v12 | v12 (flux),v13 | k13 (second_order_rate_constant),v13 | k13_ (first_order_rate_constant),v13 | v13 (flux),v14 | k14 (first_order_rate_constant),v14 | k14_ (first_order_rate_constant),v14 | v14 (flux),v15 | k15 (first_order_rate_constant),v15 | k15_ (second_order_rate_constant),v15 | v15 (flux),v17 | k17 (second_order_rate_constant),v17 | k17_ (first_order_rate_constant),v17 | v17 (flux),v18 | k18 (first_order_rate_constant),v18 | k18_ (second_order_rate_constant),v18 | v18 (flux),v19 | k19 (second_order_rate_constant),v19 | k19_ (first_order_rate_constant),v19 | v19 (flux),v2 | k2 (second_order_rate_constant),v2 | k2_ (first_order_rate_constant),v2 | v2 (flux),v20 | k20 (first_order_rate_constant),v20 | k20_ (second_order_rate_constant),v20 | v20 (flux),v21 | k21 (second_order_rate_constant),v21 | k21_ (first_order_rate_constant),v21 | v21 (flux),v22 | k22 (second_order_rate_constant),v22 | k22_ (first_order_rate_constant),v22 | v22 (flux),v23 | k23 (first_order_rate_constant),v23 | k23_ (second_order_rate_constant),v23 | v23 (flux),v24 | k24 (second_order_rate_constant),v24 | k24_ (first_order_rate_constant),v24 | v24 (flux),v25 | k25 (first_order_rate_constant),v25 | k25_ (first_order_rate_constant),v25 | v25 (flux),v3 | k3 (first_order_rate_constant),v3 | k3_ (first_order_rate_constant),v3 | v3 (flux),v5 | k5 (second_order_rate_constant),v5 | k5_ (first_order_rate_constant),v5 | v5 (flux),v6 | k6 (first_order_rate_constant),v6 | k6_ (first_order_rate_constant),v6 | v6 (flux),v7 | k7 (first_order_rate_constant),v7 | k7_ (second_order_rate_constant),v7 | v7 (flux),v9 | k9 (second_order_rate_constant),v9 | k9_ (first_order_rate_constant),v9 | v9 (flux)
0,0,0,0,0,0,0,0,680,-204,0,0.289,85,-0.289,105,0,0,0,0,0,100,-204,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,204,0,0,0,0,0,0,150,0,0,0,34,-0.289,0.003,0.06,204,0.01,0.06,0,0.03,0.0045,0,0.0015,0.0001,-0.289,0.09,0.6,0,6,0.06,0,0.3,0.0009,0,0.003,0.1,0,0.3,0.0009,0,0.01,0.0214,0,0.01,0.1,0,0.12,0.00024,0,0.003,0.1,0,0.03,0.064,0,0.1,0.021,0,0.009,0.0429,0,1,0.03,0,1,0.01,0,0.06,0.2,0,1,0.05,0,0.3,0.006,0,0.003,0.05,0
1,11.0101,0.17563,0.120341,0.339709,2.05391,2.19588,0.0126938,596.596,-26.859,0.285692,0.278413,84.527,-0.969426,103.407,-3.98047,0.0171593,0.0796225,0.00290127,0.0170722,16.5964,-26.859,12.4884,8.75308,0.0613293,0.149505,0.00562682,0.0210381,1.24991,2.74669,0.32255,1.13708,1.12991,1.66008,0.101607,0.418547,0.00706701,0.037941,1.94523,5.59144,47.4167,-15.6103,0.681841,0.719232,0.00992415,0.0526047,0.00174253,0.011377,146.674,-8.32282,0.130305,0.550832,33.6999,-0.348769,0.003,0.06,26.859,0.01,0.06,0.0203303,0.03,0.0045,-0.000707781,0.0015,0.0001,-0.284426,0.09,0.6,8.32282,6,0.06,6.66274,0.3,0.0009,0.58349,0.003,0.1,0.483113,0.3,0.0009,0.0304761,0.01,0.0214,0.0340903,0.01,0.1,21.2346,0.12,0.00024,0.000847756,0.003,0.1,0.0320504,0.03,0.064,0.00992176,0.1,0.021,-0.000607517,0.009,0.0429,0.00469847,1,0.03,0.0170722,1,0.01,12.4816,0.06,0.2,3.98047,1,0.05,1.23378,0.3,0.006,0.0966947,0.003,0.05,0.169836
2,38.524,1.52862,1.58015,2.72686,9.93884,11.8219,0.235898,583.884,-4.90088,0.542298,0.229752,82.5918,-2.91719,98.4912,-5.18415,0.276689,0.460179,0.11601,0.273209,3.8844,-4.90088,12.9354,-4.15679,0.231903,0.16293,0.0538112,0.0744091,3.66591,1.64075,2.45017,2.81002,1.92005,0.128977,1.06082,1.38307,0.182087,0.360261,8.69594,6.30795,31.7208,-12.6363,1.00133,0.0569897,0.236476,0.448888,0.100772,0.257874,136.258,-11.1275,1.54585,2.24048,33.121,-0.922296,0.003,0.06,4.90088,0.01,0.06,0.0735799,0.03,0.0045,-0.000829256,0.0015,0.0001,-0.272739,0.09,0.6,11.1275,6,0.06,10.9985,0.3,0.0009,2.60739,0.003,0.1,2.04856,0.3,0.0009,0.318032,0.01,0.0214,0.347457,0.01,0.1,8.76857,0.12,0.00024,0.0218262,0.003,0.1,0.359377,0.03,0.064,0.228521,0.1,0.021,-0.00752738,0.009,0.0429,0.0346306,1,0.03,0.273209,1,0.01,12.9254,0.06,0.2,5.18415,1,0.05,3.5434,0.3,0.006,0.733388,0.003,0.05,0.23651
3,59.7655,3.77945,4.83436,6.20261,16.6842,22.5496,0.895679,581.392,-1.09731,0.748591,0.190288,78.9038,-4.31424,93.5739,-4.60719,0.889794,0.718825,0.66733,0.869774,1.39162,-1.09731,8.33877,-4.24979,0.366623,0.106926,0.146587,0.10632,4.55613,0.3167,5.31282,2.70189,1.83344,-0.183441,2.51714,1.38836,0.749093,0.750312,13.418,3.19121,22.1654,-7.06099,0.982898,-0.0493379,0.907546,0.860134,0.660582,0.911899,125.617,-10.0121,4.29728,3.09364,31.6951,-1.95882,0.003,0.06,1.09731,0.01,0.06,0.107406,0.03,0.0045,0.00108655,0.0015,0.0001,-0.248964,0.09,0.6,10.0121,6,0.06,10.1956,0.3,0.0009,4.0216,0.003,0.1,2.92448,0.3,0.0009,0.75434,0.01,0.0214,0.781782,0.01,0.1,4.07915,0.12,0.00024,0.0897353,0.003,0.1,0.926461,0.03,0.064,0.820667,0.1,0.021,-0.00149681,0.009,0.0429,0.0582654,1,0.03,0.869774,1,0.01,8.32894,0.06,0.2,4.60719,1,0.05,4.29049,0.3,0.006,1.5886,0.003,0.05,0.214332
4,72.7253,6.00318,9.13228,9.27107,20.798,32.1265,1.86164,580.767,-0.336449,0.94159,0.204458,74.2152,-4.96512,89.2319,-4.12071,1.62468,0.716711,1.88839,1.56803,0.767337,-0.336449,4.91631,-2.61806,0.452931,0.0700945,0.258005,0.113202,4.60862,-0.105591,7.64639,1.94156,1.65689,-0.154161,3.68861,0.934252,1.60364,0.914795,15.5057,1.2196,16.6747,-4.24123,0.941821,-0.0268564,1.88202,1.05853,1.95802,1.66979,116.217,-8.85684,7.48844,3.21404,29.2388,-2.90224,0.003,0.06,0.336449,0.01,0.06,0.116951,0.03,0.0045,0.00374951,0.0015,0.0001,-0.215584,0.09,0.6,8.85684,6,0.06,9.011,0.3,0.0009,4.64538,0.003,0.1,3.08342,0.3,0.0009,1.10499,0.01,0.0214,1.04418,0.01,0.1,2.28884,0.12,0.00024,0.191994,0.003,0.1,1.47907,0.03,0.064,1.52552,0.1,0.021,0.0477297,0.009,0.0429,0.0626044,1,0.03,1.56803,1,0.01,4.9069,0.06,0.2,4.12071,1,0.05,4.2263,0.3,0.006,2.28474,0.003,0.05,0.187046
5,80.3583,7.78774,13.8308,11.5079,23.1363,40.7072,2.87143,580.543,-0.150648,1.16921,0.253211,69.1175,-5.17943,85.2524,-3.87056,2.28127,0.587029,3.76897,2.1682,0.542703,-0.150648,2.92835,-1.45828,0.514358,0.0556761,0.368207,0.105608,4.47077,-0.138879,9.2266,1.25421,1.53138,-0.0991763,4.40195,0.515395,2.50322,0.855803,16.2312,0.365225,13.2423,-2.77086,0.931491,0.00517675,2.98807,1.14596,3.93752,2.24778,107.761,-8.11526,10.6453,3.08427,26.0218,-3.4624,0.003,0.06,0.150648,0.01,0.06,0.111753,0.03,0.0045,0.00614523,0.0015,0.0001,-0.178103,0.09,0.6,8.11526,6,0.06,8.21443,0.3,0.0009,4.86042,0.003,0.1,2.92537,0.3,0.0009,1.31808,0.01,0.0214,1.0919,0.01,0.1,1.46076,0.12,0.00024,0.299507,0.003,0.1,1.90853,0.03,0.064,2.08065,0.1,0.021,0.132373,0.009,0.0429,0.0634105,1,0.03,2.1682,1,0.01,2.91904,0.06,0.2,3.87056,1,0.05,4.00944,0.3,0.006,2.75523,0.003,0.05,0.167429
6,84.9888,9.08292,18.5875,13.0273,24.4659,48.6582,3.74441,580.428,-0.0889195,1.44651,0.298038,63.9303,-5.168,81.4423,-3.76729,2.79506,0.443832,6.17113,2.60993,0.427558,-0.0889195,1.82866,-0.808186,0.56852,0.054101,0.467168,0.0917186,4.35924,-0.0803418,10.2323,0.793868,1.45196,-0.062888,4.76998,0.244199,3.27725,0.681653,16.4186,0.0676166,10.9263,-1.93304,0.949371,0.0292408,4.17257,1.22691,6.36767,2.57138,99.8898,-7.66375,13.6521,2.93488,22.4414,-3.64279,0.003,0.06,0.0889195,0.01,0.06,0.0995539,0.03,0.0045,0.00783528,0.0015,0.0001,-0.141299,0.09,0.6,7.66375,6,0.06,7.72664,0.3,0.0009,4.91392,0.003,0.1,2.67195,0.3,0.0009,1.42743,0.01,0.0214,1.00032,0.01,0.1,1.01098,0.12,0.00024,0.391819,0.003,0.1,2.2011,0.03,0.064,2.40162,0.1,0.021,0.222058,0.009,0.0429,0.0731541,1,0.03,2.60993,1,0.01,1.81917,0.06,0.2,3.76729,1,0.05,3.84763,0.3,0.006,3.05376,0.003,0.05,0.153655
7,87.9522,9.96207,23.2465,14.057,25.2262,56.2188,4.40854,580.354,-0.060599,1.75539,0.31382,58.8226,-5.03151,77.6918,-3.74305,3.17999,0.332522,8.94199,2.91173,0.354299,-0.060599,1.21126,-0.463002,0.624534,0.0585595,0.550997,0.0758112,4.30919,-0.0222896,10.877,0.521086,1.40032,-0.0424475,4.929,0.0887606,3.85754,0.479027,16.4397,-0.00408289,9.27095,-1.41616,0.987852,0.0469571,5.45355,1.34172,9.00642,2.67382,92.3809,-7.37309,16.5326,2.8363,18.8297,-3.54247,0.003,0.06,0.060599,0.01,0.06,0.0845378,0.03,0.0045,0.00872663,0.0015,0.0001,-0.108128,0.09,0.6,7.37309,6,0.06,7.41554,0.3,0.0009,4.91721,0.003,0.1,2.40817,0.3,0.0009,1.47385,0.01,0.0214,0.845563,0.01,0.1,0.73838,0.12,0.00024,0.460769,0.003,0.1,2.37211,0.03,0.064,2.50425,0.1,0.021,0.291199,0.009,0.0429,0.0942336,1,0.03,2.91173,1,0.01,1.20138,0.06,0.2,3.74305,1,0.05,3.76534,0.3,0.006,3.24425,0.003,0.05,0.143097
8,89.9625,10.5159,27.739,14.7877,25.646,63.5199,4.85977,580.302,-0.044403,2.06215,0.294,53.8936,-4.81543,73.9419,-3.76225,3.47278,0.258827,11.9615,3.11394,0.302447,-0.044403,0.849791,-0.278656,0.686441,0.0654803,0.618773,0.0598212,4.30893,0.0190653,11.3149,0.370423,1.36392,-0.0315194,4.96965,0.000368885,4.241,0.292575,16.4353,0.00157095,8.03549,-1.07702,1.04227,0.0615822,6.86878,1.4944,11.6596,2.60878,85.1162,-7.1659,19.3455,2.79972,15.4185,-3.25518,0.003,0.06,0.044403,0.01,0.06,0.0687125,0.03,0.0045,0.00889128,0.0015,0.0001,-0.0800026,0.09,0.6,7.1659,6,0.06,7.19742,0.3,0.0009,4.91245,0.003,0.1,2.16031,0.3,0.0009,1.48445,0.01,0.0214,0.675489,0.01,0.1,0.560712,0.12,0.00024,0.506003,0.003,0.1,2.44093,0.03,0.064,2.43098,0.1,0.021,0.328196,0.009,0.0429,0.12309,1,0.03,3.11394,1,0.01,0.839368,0.06,0.2,3.76225,1,0.05,3.74319,0.3,0.006,3.37276,0.003,0.05,0.134193
9,91.4007,10.8211,32.0295,15.3495,25.8428,70.629,5.1247,580.264,-0.0339685,2.33339,0.244375,49.2105,-4.54282,70.1588,-3.80729,3.70754,0.214806,15.149,3.25307,0.263608,-0.0339685,0.626842,-0.176877,0.755708,0.0730646,0.670922,0.0446711,4.34272,0.0466666,11.642,0.292749,1.33548,-0.02607,4.94065,-0.05477,4.45378,0.138943,16.4484,0.0250128,7.08196,-0.843747,1.11077,0.0754678,8.45121,1.67338,14.1839,2.42316,78.0355,-6.9999,22.1511,2.82025,12.358,-2.85115,0.003,0.06,0.0339685,0.01,0.06,0.0531353,0.03,0.0045,0.00846423,0.0015,0.0001,-0.0573144,0.09,0.6,6.9999,6,0.06,7.02597,0.3,0.0009,4.91237,0.003,0.1,1.93423,0.3,0.0009,1.47375,0.01,0.0214,0.515257,0.01,0.1,0.438858,0.12,0.00024,0.530672,0.003,0.1,2.42508,0.03,0.064,2.22544,0.1,0.021,0.332955,0.009,0.0429,0.154358,1,0.03,3.25307,1,0.01,0.615734,0.06,0.2,3.80729,1,0.05,3.76063,0.3,0.006,3.46788,0.003,0.05,0.1262
