environment | time (minute),GAP | GAP (dimensionless) | Run #1,GAP | GAP (dimensionless) | Run #2,GAP | GAP' (dimensionless/minute) | Run #1,GAP | GAP' (dimensionless/minute) | Run #2,Ras_GAP | Ras_GAP (dimensionless) | Run #1,Ras_GAP | Ras_GAP (dimensionless) | Run #2,Ras_GAP | Ras_GAP' (dimensionless/minute) | Run #1,Ras_GAP | Ras_GAP' (dimensionless/minute) | Run #2,Ras_Raf | Ras_Raf (dimensionless) | Run #1,Ras_Raf | Ras_Raf (dimensionless) | Run #2,Ras_Raf | Ras_Raf' (dimensionless/minute) | Run #1,Ras_Raf | Ras_Raf' (dimensionless/minute) | Run #2,Ras_ShcGS | Ras_ShcGS (dimensionless) | Run #1,Ras_ShcGS | Ras_ShcGS (dimensionless) | Run #2,Ras_ShcGS | Ras_ShcGS' (dimensionless/minute) | Run #1,Ras_ShcGS | Ras_ShcGS' (dimensionless/minute) | Run #2,RasGDP | RasGDP (dimensionless) | Run #1,RasGDP | RasGDP (dimensionless) | Run #2,RasGDP | RasGDP' (dimensionless/minute) | Run #1,RasGDP | RasGDP' (dimensionless/minute) | Run #2,RasGTP | RasGTP (dimensionless) | Run #1,RasGTP | RasGTP (dimensionless) | Run #2,RasGTP | RasGTP' (dimensionless/minute) | Run #1,RasGTP | RasGTP' (dimensionless/minute) | Run #2,ShcGS | ShcGS (dimensionless) | Run #1,ShcGS | ShcGS (dimensionless) | Run #2,ShcGS | ShcGS' (dimensionless/minute) | Run #1,ShcGS | ShcGS' (dimensionless/minute) | Run #2,v12 | k12 (first_order_rate_constant) | Run #1,v12 | k12 (first_order_rate_constant) | Run #2,v12 | kn12 (first_order_rate_constant) | Run #1,v12 | kn12 (first_order_rate_constant) | Run #2,v12 | v12 (first_order_rate_constant) | Run #1,v12 | v12 (first_order_rate_constant) | Run #2,v13 | k_13 (first_order_rate_constant) | Run #1,v13 | k_13 (first_order_rate_constant) | Run #2,v13 | v13 (first_order_rate_constant) | Run #1,v13 | v13 (first_order_rate_constant) | Run #2,v14 | k14 (first_order_rate_constant) | Run #1,v14 | k14 (first_order_rate_constant) | Run #2,v14 | kn14 (first_order_rate_constant) | Run #1,v14 | kn14 (first_order_rate_constant) | Run #2,v14 | v14 (first_order_rate_constant) | Run #1,v14 | v14 (first_order_rate_constant) | Run #2,v15 | k15 (first_order_rate_constant) | Run #1,v15 | k15 (first_order_rate_constant) | Run #2,v15 | v15 (first_order_rate_constant) | Run #1,v15 | v15 (first_order_rate_constant) | Run #2,v16 | k16 (first_order_rate_constant) | Run #1,v16 | k16 (first_order_rate_constant) | Run #2,v16 | kn16 (first_order_rate_constant) | Run #1,v16 | kn16 (first_order_rate_constant) | Run #2,v16 | v16 (first_order_rate_constant) | Run #1,v16 | v16 (first_order_rate_constant) | Run #2
0,15000,15000,-15000,-15000,0,0,15000,15000,0,0,0.24,0.24,0,0,0,0,19800,19800,0,0,200,200,-15000.2,-15000.2,0,0,0,0,0.0163,0.0163,10,10,0,0,15,15,0,0,0.005,0.005,60,60,15000,15000,720,720,0,0,0.0012,0.0012,3,3,0.24,0.24
0.001,14990,14990,-6140.73,-6140.73,9.98925,9.98925,6140.73,6140.73,0.000231016,0.000231016,0.222373,0.222373,0,0,0,0,19804.1,19804.1,7192.26,7192.26,185.888,185.888,-13333.2,-13333.2,0,0,0,0,0.0163,0.0163,10,10,0,0,15,15,0,0,0.005,0.005,60,60,13333,13333,720,720,7192.26,7192.26,0.0012,0.0012,3,3,0.222373,0.222373
0.002,14986.1,14986.1,-2155.24,-2155.24,13.8731,13.8731,2155.24,2155.24,0.000445318,0.000445318,0.206477,0.206477,0,0,0,0,19812.9,19812.9,9988.64,9988.64,173.177,173.177,-12144.1,-12144.1,0,0,0,0,0.0163,0.0163,10,10,0,0,15,15,0,0,0.005,0.005,60,60,12143.9,12143.9,720,720,9988.64,9988.64,0.0012,0.0012,3,3,0.206477,0.206477
0.003,14985,14985,-384.035,-384.035,15.0228,15.0228,384.035,384.035,0.000644404,0.000644404,0.19189,0.19189,0,0,0,0,19823.5,19823.5,10816.4,10816.4,161.52,161.52,-11200.7,-11200.7,0,0,0,0,0.0163,0.0163,10,10,0,0,15,15,0,0,0.005,0.005,60,60,11200.5,11200.5,720,720,10816.4,10816.4,0.0012,0.0012,3,3,0.19189,0.19189
0.004,14985,14985,382.509,382.509,14.9692,14.9692,-382.509,-382.509,0.000829459,0.000829459,0.178388,0.178388,0,0,0,0,19834.3,19834.3,10777.8,10777.8,150.73,150.73,-10395.5,-10395.5,0,0,0,0,0.0163,0.0163,10,10,0,0,15,15,0,0,0.005,0.005,60,60,10395.3,10395.3,720,720,10777.8,10777.8,0.0012,0.0012,3,3,0.178388,0.178388
0.005,14985.6,14985.6,694.509,694.509,14.4062,14.4062,-694.509,-694.509,0.0010015,0.0010015,0.165835,0.165835,0,0,0,0,19844.9,19844.9,10372.5,10372.5,140.7,140.7,-9678.12,-9678.12,0,0,0,0,0.0163,0.0163,10,10,0,0,15,15,0,0,0.005,0.005,60,60,9677.96,9677.96,720,720,10372.5,10372.5,0.0012,0.0012,3,3,0.165835,0.165835
0.006,14986.4,14986.4,802.091,802.091,13.6469,13.6469,-802.091,-802.091,0.00116141,0.00116141,0.15414,0.15414,0,0,0,0,19855,19855,9825.8,9825.8,131.353,131.353,-9023.86,-9023.86,0,0,0,0,0.0163,0.0163,10,10,0,0,15,15,0,0,0.005,0.005,60,60,9023.71,9023.71,720,720,9825.8,9825.8,0.0012,0.0012,3,3,0.15414,0.15414
0.007,14987.2,14987.2,818.91,818.91,12.8316,12.8316,-818.91,-818.91,0.00131004,0.00131004,0.143232,0.143232,0,0,0,0,19864.5,19864.5,9238.77,9238.77,122.635,122.635,-8420.01,-8420.01,0,0,0,0,0.0163,0.0163,10,10,0,0,15,15,0,0,0.005,0.005,60,60,8419.86,8419.86,720,720,9238.77,9238.77,0.0012,0.0012,3,3,0.143232,0.143232
0.008,14988,14988,796.544,796.544,12.0219,12.0219,-796.544,-796.544,0.00144812,0.00144812,0.133054,0.133054,0,0,0,0,19873.5,19873.5,8655.76,8655.76,114.499,114.499,-7859.34,-7859.34,0,0,0,0,0.0163,0.0163,10,10,0,0,15,15,0,0,0.005,0.005,60,60,7859.21,7859.21,720,720,8655.76,8655.76,0.0012,0.0012,3,3,0.133054,0.133054
0.009,14988.8,14988.8,758.324,758.324,11.2437,11.2437,-758.324,-758.324,0.00157637,0.00157637,0.123555,0.123555,0,0,0,0,19881.9,19881.9,8095.46,8095.46,106.904,106.904,-7337.26,-7337.26,0,0,0,0,0.0163,0.0163,10,10,0,0,15,15,0,0,0.005,0.005,60,60,7337.13,7337.13,720,720,8095.46,8095.46,0.0012,0.0012,3,3,0.123555,0.123555
