,Time,RasGDP,GAP,RasGTP,Ras_Raf
0,0.0,19800.0,15000.0,200.0,0.0
1,0.001,19804.08551800169,14990.095705440272,186.00995819442667,0.00022924414646140483
2,0.002,19812.837854302852,14986.23706334561,173.39876700141744,0.00044204133006361246
3,0.003,19823.26254499801,14985.088208830644,161.82502397857164,0.0006398540527450629
4,0.004,19834.025945064248,14985.13335937183,151.10659046612938,0.0008238414445402236
5,0.005,19844.547696437632,14985.684101262854,141.13540983278986,0.0009949924169360312
6,0.006,19854.59055571822,14986.430650395652,131.8389404895251,0.0011541879005857705
7,0.007,19864.07009562753,14987.233567485015,123.1621696258162,0.0013022316633090692
8,0.008,19872.97109296496,14988.03213855033,115.05960571959206,0.0014398657725162725
9,0.009,19881.30714790972,14988.800032229317,107.4913165398949,0.0015677796967146834
10,0.01,19889.104746168123,14989.527699639464,100.42126685570204,0.001686615636939066
11,0.011,19896.39406037577,14990.212133955263,93.81627660651712,0.0017969729695124462
12,0.012,19903.20619494985,14990.853703690047,87.64560932890501,0.0018994112795826862
13,0.013,19909.571454206274,14991.454105017696,81.88065635818158,0.001994453226081589
14,0.014,19915.518697263087,14992.01551265343,76.49473280326119,0.002082587069790141
15,0.015,19921.075166207807,14992.540257869641,71.46292739285454,0.0021642689665256907
16,0.016,19926.266413031917,14993.030621485117,66.76196852806707,0.0022399251246084336
17,0.017,19931.11639005859,14993.488809685086,62.370109672622085,0.002309953865815587
18,0.018,19935.647492816694,14993.916911332908,58.267043789075636,0.0023747271306205388
19,0.019,19939.880701654605,14994.316898167377,54.43376191969891,0.002434593062936529
20,0.02,19943.835640574907,14994.69060907315,50.85247862088469,0.0024898773508724593
21,0.021,19947.53058227604,14995.039775289722,47.5066521307877,0.0025408828901704646
22,0.022,19950.98246029891,14995.36601007956,44.38096189046165,0.0025878901817440896
23,0.023,19954.20741990903,14995.670815575168,41.460764498846885,0.0026311672768399206
24,0.024,19957.220225441306,14995.955582633505,38.732686233238155,0.002670958954631554
25,0.025,19960.03490162921,14996.221632650566,36.184023523625676,0.002707497722718422
26,0.026,19962.66436734255,14996.470180197974,33.80307185765064,0.002740997764442269
27,0.027,19965.120882825908,14996.702385564378,31.57873107625218,0.0027716622107632296
28,0.028,19967.415782514265,14996.919318768856,29.500736575716793,0.0027996788702700864
29,0.029,19969.5596849338,14997.121984896634,27.559474739192943,0.002825223631089251
30,0.03,19971.562573468764,14997.31132624547,25.74590431480805,0.002848461893739802
31,0.031,19973.433646357567,14997.488212526832,24.051696623250105,0.0028695460045621104
32,0.032,19975.18159836758,14997.653464073044,22.468977085463422,0.002888619993454342
33,0.033,19976.814483791273,14997.807840720614,20.990451112070183,0.002905817266588355
34,0.034,19978.339914815737,14997.952061340877,19.609225261244564,0.002921263888143723
35,0.035,19979.76497096061,14998.08679404089,18.318888003182742,0.002935077097005281
36,0.036,19981.09623761519,14998.212661456626,17.113476475507127,0.0029473659183469267
37,0.037,19982.33991086504,14998.330249017346,15.987379919366145,0.002958232932088353
38,0.038,19983.50177863003,14998.440104038247,14.935357634267225,0.0029677739444955932
39,0.039,19984.58720454318,14998.542733207554,13.952552586633768,0.002976077736469385
40,0.04,19985.601211279973,14998.638611092794,13.034416585382289,0.002983227436694289
